run_id,lambda,track_file_name,resolved_track_path,status,message,row_count,transition_count,used_count,downhill_count,uphill_count,observed_acceptance,mean_uphill_delta,median_uphill_delta,max_probability_error,probability_valid,initial_params_match,best_cost_error,initial_temp,min_temp,cooling_rate,perturbation,gen_seed
66,2,track_csv/jasminum-remote/results/66.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/66.csv,ok,,2758,2757,100,49,51,1,0.0472245266172,0.0347232843722,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
67,2.25,track_csv/jasminum-remote/results/67.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/67.csv,ok,,2758,2757,100,52,48,1,0.0505145323202,0.0402846597671,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
68,2.5,track_csv/jasminum-remote/results/68.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/68.csv,ok,,2758,2757,100,49,51,1,0.0637404045347,0.0471063272149,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
69,2.75,track_csv/jasminum-remote/results/69.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/69.csv,ok,,2758,2757,100,52,48,1,0.0500846949771,0.0423568119336,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
70,3,track_csv/jasminum-remote/results/70.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/70.csv,ok,,2758,2757,100,53,47,1,0.0838822594981,0.0604235280982,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
71,2,track_csv/jasminum-remote/results/71.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/71.csv,ok,,2758,2757,100,48,52,1,0.076211456853,0.0677770560454,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
72,2.25,track_csv/jasminum-remote/results/72.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/72.csv,ok,,2758,2757,100,47,53,1,0.0339998050262,0.0252455509583,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
73,2.5,track_csv/jasminum-remote/results/73.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/73.csv,ok,,2758,2757,100,46,54,1,0.142396481152,0.10568397424,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
74,2.75,track_csv/jasminum-remote/results/74.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/74.csv,ok,,2758,2757,100,46,54,1,0.091420532468,0.0889494778982,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
75,3,track_csv/jasminum-remote/results/75.csv,/home/samuel/projects/shape_optimizer/track_csv/jasminum-remote/results/75.csv,ok,,2758,2757,100,52,48,1,0.096415713314,0.0767670780885,1.11022302463e-16,True,True,0,1000,0.001,0.995,"[0.08, 0.08, 4.0, 6.0, 4.0]",0
